"","V1"
"1",2750
"2",28693
"3",36314
"4",47576
"5",104787
"6",130662
"7",134377
"8",145901
"9",152430
"10",159059
"11",159564
"12",159966
"13",644210
"14",3000341
"15",3034396
"16",3955796
"17",4491165
"18",5281040
"19",5311481
"20",5320438
"21",5353853
"22",5362396
"23",5484063
"24",5484197
"25",5487533
"26",5489400
"27",5490373
"28",6518171
"29",6603740
"30",6916035
"31",9804952
"32",9811733
"33",9822764
"34",9826770
"35",9840689
"36",9843770
"37",9865223
"38",9866175
"39",9871102
"40",9871376
"41",9898185
"42",9909743
"43",9932532
"44",9948520
"45",9950038
"46",9963195
"47",9973387
"48",9989078
"49",10006938
"50",10010455
"51",10022299
"52",10022640
"53",10024362
"54",10028323
"55",10033203
"56",10041278
"57",10046193
"58",10050608
"59",10052760
"60",10065022
"61",10068300
"62",10069687
"63",10077545
"64",10077792
"65",10078008
"66",10080153
"67",10090388
"68",10094954
"69",10099473
"70",10171702
"71",10179322
"72",10246015
"73",10256020
"74",10267592
"75",10320022
"76",10320559
"77",10339691
"78",10343372
"79",10346615
"80",10365429
"81",10366385
"82",10371120
"83",10374265
"84",10410736
"85",10415050
"86",10415290
"87",10416962
"88",10432317
"89",10433421
"90",10440134
"91",10448420
"92",10454860
"93",10456059
"94",10456060
"95",10457387
"96",10458677
"97",10464136
"98",10473705
"99",10492792
"100",10496165
"101",10499145
"102",10508419
"103",10508427
"104",10533341
"105",10542105
"106",10546451
"107",10580071
"108",10592239
"109",10594839
"110",10613803
"111",10628001
"112",10635842
"113",10641623
"114",10644816
"115",10651237
"116",10651238
"117",10662763
"118",10664954
"119",10675111
"120",10675721
"121",10675722
"122",10675737
"123",10676537
"124",10676779
"125",10699409
"126",10699417
"127",10722490
"128",10722878
"129",10735696
"130",10746795
"131",10747714
"132",10748690
"133",10748691
"134",10756234
"135",10757499
"136",10760345
"137",10770328
"138",10784079
"139",10788323
"140",10804905
"141",10805007
"142",10808145
"143",10811744
"144",10817984
"145",10818935
"146",10827784
"147",10834101
"148",10841295
"149",10841482
"150",10843787
"151",10843788
"152",10850629
"153",10853147
"154",10853383
"155",10907487
"156",10909103
"157",10927114
"158",10942040
"159",11040230
"160",11051174
"161",11051303
"162",11102464
"163",11136782
"164",11145065
"165",11149937
"166",11150306
"167",11186271
"168",11209418
"169",11209549
"170",11211122
"171",11213149
"172",11213578
"173",11235302
"174",11268925
"175",11269310
"176",11279188
"177",11282704
"178",11292839
"179",11327829
"180",11335412
"181",11337925
"182",11351769
"183",11359253
"184",11361718
"185",11373068
"186",11375776
"187",11394342
"188",11402990
"189",11404339
"190",11404566
"191",11405480
"192",11406708
"193",11416117
"194",11428837
"195",11451042
"196",11452117
"197",11520765
"198",11528076
"199",11537712
"200",11544824
"201",11555338
"202",11558993
"203",11564210
"204",11595485
"205",11602862
"206",11614928
"207",11629355
"208",11645313
"209",11660069
"210",11666402
"211",11693641
"212",11717551
"213",11722088
"214",11750461
"215",11755589
"216",11795406
"217",11803174
"218",11818885
"219",11957735
"220",12093958
"221",12114743
"222",12114744
"223",12988885
"224",12994684
"225",13062443
"226",13062446
"227",13559317
"228",14548221
"229",14548227
"230",14548236
"231",14679812
"232",14726012
"233",14840431
"234",14845809
"235",14879862
"236",14879863
"237",15005472
"238",15005475
"239",15177773
"240",15177774
"241",15344754
"242",15659189
"243",15659190
"244",15659191
"245",15659192
"246",15659193
"247",15659194
"248",15659195
"249",15659196
"250",15659197
"251",15689703
"252",15689709
"253",15689718
"254",15697372
"255",15764659
"256",15819291
"257",16040172
"258",16046123
"259",16086540
"260",16086543
"261",16094423
"262",16100406
"263",16100407
"264",16100408
"265",16100409
"266",16100410
"267",16100411
"268",16730656
"269",16730814
"270",16730815
"271",16735704
"272",16737292
"273",16737294
"274",16737629
"275",16737631
"276",16737673
"277",16747723
"278",19788003
"279",21106890
"280",21345764
"281",21345766
"282",21345767
"283",21593990
"284",22167996
"285",23519701
"286",23634920
"287",23634921
"288",23635042
"289",23635044
"290",23635163
"291",23635166
"292",23642304
"293",24762741
"294",24768351
"295",24768352
"296",24768353
"297",24768354
"298",24768356
"299",24768357
"300",24768358
"301",24768397
"302",24886213
"303",25129090
"304",25129133
"305",25129135
"306",25129432
"307",25129433
"308",25129434
"309",25129436
"310",25129437
"311",25129438
"312",25129777
"313",25129778
"314",25129779
"315",25129780
"316",25217787
"317",25256781
"318",25256782
"319",44176456
"320",44176458
"321",44176572
"322",44177145
"323",44177567
"324",44177570
"325",44177668
"326",44177669
"327",44177670
"328",44177768
"329",44177770
"330",44177994
"331",44177995
"332",44178113
"333",44233184
"334",44233185
"335",44233410
"336",44253973
"337",44253974
"338",44254057
"339",44254058
"340",44254061
"341",44254062
"342",44254504
"343",44254505
"344",44254506
"345",44254584
"346",44254954
"347",44254955
"348",44254957
"349",44255041
"350",44255042
"351",44255043
"352",44255044
"353",44255045
"354",44269673
"355",44269677
"356",44269678
"357",44269681
"358",44269682
"359",44269730
"360",44269731
"361",44269732
"362",44269737
"363",44269750
"364",44269751
"365",44269752
"366",44272933
"367",44272934
"368",44273019
"369",44273020
"370",44273021
"371",44273048
"372",44273049
"373",44273050
"374",44273081
"375",44273082
"376",44273477
"377",44274454
"378",44274467
"379",44274481
"380",44274482
"381",44274561
"382",44274614
"383",44274615
"384",44275470
"385",44275471
"386",44275484
"387",44275507
"388",44275523
"389",44275536
"390",44275550
"391",44275566
"392",44275567
"393",44275568
"394",44275684
"395",44275878
"396",44275879
"397",44275996
"398",44276013
"399",44276027
"400",44276028
"401",44276042
"402",44276048
"403",44276066
"404",44276158
"405",44276159
"406",44276213
"407",44276236
"408",44276269
"409",44276278
"410",44276292
"411",44276293
"412",44282798
"413",44283842
"414",44283843
"415",44284026
"416",44285718
"417",44287143
"418",44287394
"419",44291256
"420",44291264
"421",44291332
"422",44291655
"423",44292437
"424",44292854
"425",44292946
"426",44292986
"427",44292987
"428",44295842
"429",44296549
"430",44296582
"431",44297100
"432",44297195
"433",44298187
"434",44298198
"435",44298201
"436",44298202
"437",44298203
"438",44298206
"439",44298207
"440",44298213
"441",44298221
"442",44298233
"443",44298240
"444",44299840
"445",44299842
"446",44300188
"447",44300209
"448",44300211
"449",44300212
"450",44300216
"451",44301524
"452",44301534
"453",44301641
"454",44301663
