"","V1"
"1",1340
"2",2215
"3",2406
"4",2662
"5",3559
"6",4552
"7",4595
"8",4650
"9",5573
"10",5603
"11",5624
"12",5750
"13",5770
"14",8975
"15",9880
"16",10517
"17",15130
"18",32414
"19",34328
"20",51263
"21",68870
"22",73484
"23",104895
"24",115335
"25",119303
"26",134551
"27",181743
"28",191408
"29",274122
"30",335091
"31",441362
"32",444034
"33",449698
"34",472130
"35",607612
"36",620160
"37",648522
"38",649073
"39",659229
"40",670803
"41",706924
"42",715224
"43",764662
"44",941361
"45",1137490
"46",1208567
"47",1234387
"48",1289615
"49",1547484
"50",2201684
"51",2212292
"52",2212606
"53",2350907
"54",2537162
"55",2566492
"56",2766666
"57",2767245
"58",2805117
"59",2808836
"60",2814135
"61",2823239
"62",2826762
"63",2837574
"64",2841629
"65",2913055
"66",2941783
"67",2945846
"68",2950356
"69",2962427
"70",2970858
"71",2982208
"72",3002977
"73",3155911
"74",3237862
"75",3294241
"76",3671778
"77",3769487
"78",3896375
"79",4247619
"80",4644453
"81",4774002
"82",4786217
"83",4802033
"84",4843002
"85",4849613
"86",4962047
"87",4988454
"88",5091282
"89",5284543
"90",5311058
"91",5311424
"92",5324289
"93",5352624
"94",5359271
"95",5360621
"96",5360630
"97",5362471
"98",5408233
"99",5459823
"100",5459910
"101",5462306
"102",5464087
"103",5740612
"104",5928757
"105",7708518
"106",8194582
"107",8853376
"108",9549399
"109",9550815
"110",9551104
"111",9587153
"112",9592147
"113",9805944
"114",9813414
"115",9825316
"116",9830361
"117",9838412
"118",9872857
"119",9881709
"120",9938829
"121",9956370
"122",9976188
"123",9985128
"124",10099811
"125",10363696
"126",10393593
"127",10405782
"128",10406239
"129",10418702
"130",10452732
"131",10552329
"132",10589837
"133",10600223
"134",10600310
"135",10696939
"136",10744541
"137",10754185
"138",10812218
"139",10839138
"140",10840329
"141",10885636
"142",10894144
"143",10939958
"144",10981666
"145",11047568
"146",11139094
"147",11152687
"148",11184285
"149",11189444
"150",11212373
"151",11223982
"152",11255195
"153",11266170
"154",11267110
"155",11292763
"156",11312548
"157",11338717
"158",11369269
"159",11407510
"160",11418847
"161",11427596
"162",11463791
"163",11464294
"164",11495094
"165",11495577
"166",11498201
"167",11500703
"168",11507658
"169",11517572
"170",11541833
"171",11552110
"172",11552587
"173",11652956
"174",11749578
"175",11771079
"176",11800732
"177",11948999
"178",11956286
"179",11956287
"180",11956288
"181",11956409
"182",11956412
"183",11956413
"184",11956520
"185",11956521
"186",11956573
"187",11956574
"188",11956633
"189",11956635
"190",11956680
"191",11956793
"192",11956794
"193",11956796
"194",11956859
"195",11956917
"196",11956918
"197",11957524
"198",11957570
"199",11983337
"200",12103026
"201",12114808
"202",12149037
"203",12191611
"204",12627145
"205",13599612
"206",14355117
"207",15185486
"208",15747210
"209",15982528
"210",16038374
"211",16043240
"212",16094346
"213",16094376
"214",16094382
"215",16094412
